"filename", "language", "JSON", "SQLite", "CSV", "Python", "Markdown", "Home Assistant", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/gero/dev/Nexa/nexa/medusa/src/api/admin/custom/collections/[collectionId]/details/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 9, 126
"/Users/gero/dev/Nexa/nexa/medusa/src/api/admin/custom/product-types/[productTypeId]/details/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 9, 54
"/Users/gero/dev/Nexa/nexa/medusa/src/api/admin/fashion/[id]/colors/[colorId]/restore/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 6, 21
"/Users/gero/dev/Nexa/nexa/medusa/src/api/admin/fashion/[id]/colors/[colorId]/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 16, 67
"/Users/gero/dev/Nexa/nexa/medusa/src/api/admin/fashion/[id]/colors/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 12, 57
"/Users/gero/dev/Nexa/nexa/medusa/src/api/admin/fashion/[id]/restore/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"/Users/gero/dev/Nexa/nexa/medusa/src/api/admin/fashion/[id]/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 13, 50
"/Users/gero/dev/Nexa/nexa/medusa/src/api/admin/fashion/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 12, 51
"/Users/gero/dev/Nexa/nexa/medusa/src/api/admin/products/[id]/fashion/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 12, 79
"/Users/gero/dev/Nexa/nexa/medusa/src/api/middlewares.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"/Users/gero/dev/Nexa/nexa/medusa/src/api/store/custom/fashion/[productHandle]/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 13, 90
"/Users/gero/dev/Nexa/nexa/medusa/src/api/store/custom/product-types/[id]/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"/Users/gero/dev/Nexa/nexa/medusa/src/api/store/custom/product-types/helpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
