Date : 2025-03-02 12:22:41
Directory : /Users/gero/dev/Nexa
Total : 318 files,  82343 codes, 3364 comments, 5323 blanks, all 91030 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/billing_address/index.tsx                                    | TypeScript JSX     |        135 |          0 |          6 |        141 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/country-select/index.tsx                                     | TypeScript JSX     |         46 |          0 |          7 |         53 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/discount-code/index.tsx                                      | TypeScript JSX     |         44 |          0 |         10 |         54 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/email/index.tsx                                              | TypeScript JSX     |         75 |          0 |          9 |         84 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/error-message/index.tsx                                      | TypeScript JSX     |         20 |          0 |          3 |         23 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/payment-button/index.tsx                                     | TypeScript JSX     |        234 |          6 |         38 |        278 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/payment-container/index.tsx                                  | TypeScript JSX     |         35 |          0 |          7 |         42 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/payment-test/index.tsx                                       | TypeScript JSX     |         10 |          0 |          3 |         13 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/payment-wrapper/index.tsx                                    | TypeScript JSX     |         58 |          0 |         11 |         69 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/payment-wrapper/stripe-wrapper.tsx                           | TypeScript JSX     |         41 |          0 |          9 |         50 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/payment/index.tsx                                            | TypeScript JSX     |        216 |          0 |         25 |        241 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/review/index.tsx                                             | TypeScript JSX     |         64 |          0 |          9 |         73 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/shipping-address/index.tsx                                   | TypeScript JSX     |        171 |         21 |         10 |        202 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/shipping/index.tsx                                           | TypeScript JSX     |        129 |          1 |         15 |        145 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/components/submit-button/index.tsx                                      | TypeScript JSX     |         15 |          0 |          5 |         20 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/templates/checkout-form/index.tsx                                       | TypeScript JSX     |         35 |          0 |          6 |         41 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/templates/checkout-summary/index.tsx                                    | TypeScript JSX     |         99 |          0 |          7 |        106 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/checkout/templates/mobile-checkout-summary/index.tsx                             | TypeScript JSX     |         66 |          0 |         10 |         76 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/collections/templates/index.tsx                                                  | TypeScript JSX     |        116 |          2 |          8 |        126 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/common/components/cart-totals/index.tsx                                          | TypeScript JSX     |         94 |          0 |          7 |        101 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/common/components/delete-button/index.tsx                                        | TypeScript JSX     |         23 |          0 |          6 |         29 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/common/components/line-item-unit-price/index.tsx                                 | TypeScript JSX     |         29 |          0 |          5 |         34 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/common/icons/bancontact.tsx                                                      | TypeScript JSX     |         23 |          0 |          4 |         27 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/common/icons/ideal.tsx                                                           | TypeScript JSX     |         23 |          0 |          4 |         27 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/common/icons/paypal.tsx                                                          | TypeScript JSX     |         29 |          0 |          2 |         31 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/common/icons/placeholder-image.tsx                                               | TypeScript JSX     |         41 |          0 |          4 |         45 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/common/icons/spinner.tsx                                                         | TypeScript JSX     |         34 |          0 |          4 |         38 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/order/components/payment-details/index.tsx                                       | TypeScript JSX     |         27 |          0 |          7 |         34 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/order/templates/order-completed-template.tsx                                     | TypeScript JSX     |         65 |          0 |          5 |         70 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/products/components/image-gallery/index.tsx                                      | TypeScript JSX     |         34 |          0 |          6 |         40 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/products/components/product-actions/index.tsx                                    | TypeScript JSX     |        302 |         26 |         32 |        360 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/products/components/product-actions/option-select.tsx                            | TypeScript JSX     |         52 |          0 |          5 |         57 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/products/components/product-preview/index.tsx                                    | TypeScript JSX     |         66 |          0 |          7 |         73 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/products/components/product-price/index.tsx                                      | TypeScript JSX     |         40 |          1 |          7 |         48 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/products/components/related-products/index.tsx                                   | TypeScript JSX     |         60 |          1 |          8 |         69 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/products/components/thumbnail/index.tsx                                          | TypeScript JSX     |         61 |          0 |          7 |         68 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/products/templates/index.tsx                                                     | TypeScript JSX     |        187 |          0 |          9 |        196 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/products/templates/product-actions-wrapper/index.tsx                             | TypeScript JSX     |         34 |          3 |          4 |         41 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/products/templates/product-info/index.tsx                                        | TypeScript JSX     |         21 |          0 |          4 |         25 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/skeletons/components/skeleton-button/index.tsx                                   | TypeScript JSX     |          6 |          2 |          4 |         12 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/skeletons/components/skeleton-cart-item/index.tsx                                | TypeScript JSX     |         19 |          1 |          3 |         23 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/skeletons/components/skeleton-cart-totals/index.tsx                              | TypeScript JSX     |         32 |          1 |          3 |         36 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/skeletons/components/skeleton-order-summary/index.tsx                            | TypeScript JSX     |         13 |          0 |          3 |         16 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/skeletons/components/skeleton-product-preview/index.tsx                          | TypeScript JSX     |         16 |          1 |          3 |         20 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/skeletons/templates/skeleton-cart-page/index.tsx                                 | TypeScript JSX     |         29 |          1 |          4 |         34 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/skeletons/templates/skeleton-order-confirmed/index.tsx                           | TypeScript JSX     |         33 |          1 |          3 |         37 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/skeletons/templates/skeleton-product-grid/index.tsx                              | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/skeletons/templates/skeleton-related-products/index.tsx                          | TypeScript JSX     |         24 |          2 |          4 |         30 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/components/pagination/index.tsx                                            | TypeScript JSX     |         98 |         12 |         11 |        121 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/components/refinement-list/category-filter/index.tsx                       | TypeScript JSX     |         44 |          2 |          4 |         50 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/components/refinement-list/collection-filter/index.tsx                     | TypeScript JSX     |         44 |          2 |          4 |         50 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/components/refinement-list/index.tsx                                       | TypeScript JSX     |        131 |          0 |         14 |        145 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/components/refinement-list/mobile-filters/index.tsx                        | TypeScript JSX     |        202 |          0 |          8 |        210 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/components/refinement-list/mobile-sort/index.tsx                           | TypeScript JSX     |         76 |          0 |          6 |         82 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/components/refinement-list/size-filter/index.tsx                           | TypeScript JSX     |        124 |          2 |         14 |        140 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/components/refinement-list/size-variable/index.tsx                         | TypeScript JSX     |         16 |          0 |          3 |         19 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/components/refinement-list/sort-products/index.tsx                         | TypeScript JSX     |         47 |          2 |          8 |         57 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/components/refinement-list/type-filter/index.tsx                           | TypeScript JSX     |         44 |          2 |          4 |         50 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/templates/index.tsx                                                        | TypeScript JSX     |        127 |          4 |         11 |        142 |
| /Users/gero/dev/Nexa/nexa/storefront/src/modules/store/templates/paginated-products.tsx                                           | TypeScript JSX     |         85 |          2 |         13 |        100 |
| /Users/gero/dev/Nexa/nexa/storefront/src/styles/globals.css                                                                       | CSS                |        137 |          1 |         34 |        172 |
| /Users/gero/dev/Nexa/nexa/storefront/src/types/icon.ts                                                                            | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/gero/dev/Nexa/nexa/storefront/src/types/metaDataFilter.ts                                                                  | TypeScript         |         13 |          3 |          1 |         17 |
| /Users/gero/dev/Nexa/nexa/storefront/tailwind.config.js                                                                           | JavaScript         |        130 |          0 |          1 |        131 |
| /Users/gero/dev/Nexa/nexa/storefront/tsconfig.json                                                                                | JSON with Comments |         38 |          0 |          1 |         39 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/hemdende.ipynb                                                                       | JSON               |      1,050 |          0 |          1 |      1,051 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/1737931870716-product-exports-01JJJCZMFWNSDK18CVRCZTHZ1R.csv                | CSV                |         42 |          0 |          0 |         42 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/1737993443787-product-exports-01JJM7PPEC3B654965BF86R5TH.csv                | CSV                |        664 |          0 |          0 |        664 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/2tall/2tall.ipynb                                                           | JSON               |          0 |          0 |          1 |          1 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/2tall/2tall.py                                                              | Python             |        170 |          1 |         19 |        190 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/2tall/out/2tall_products1.csv                                               | CSV                |      1,147 |          0 |          1 |      1,148 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/2tall/out/2tall_products2.csv                                               | CSV                |      1,147 |          0 |          1 |      1,148 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/2tall/products.json                                                         | JSON               |      5,358 |          0 |          0 |      5,358 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/2tall/products2.json                                                        | JSON               |          1 |          0 |          0 |          1 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/2tall/sizing.json                                                           | JSON               |         32 |          0 |          1 |         33 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/product-import-template.csv                                                 | CSV                |          6 |          0 |          1 |          7 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/riesenhemd/out/1737942552803-product-exports-01JJJQ5M73MM05N1KPAZJMGX42.csv | CSV                |        265 |          0 |          0 |        265 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/riesenhemd/out/product-import-template.csv                                  | CSV                |        621 |          0 |          1 |        622 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/riesenhemd/riesenhemd.py                                                    | Python             |        158 |          4 |         12 |        174 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/riesenhemd/sizing.json                                                      | JSON               |         21 |          0 |          1 |         22 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/importer/riesenhemd/wc-product-export-24-1-2025-1737709004303.csv                    | CSV                |        199 |          0 |          0 |        199 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/product_remover.ipynb                                                                | JSON               |     10,669 |          0 |          1 |     10,670 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/scrapers/EOD.ipynb                                                                   | JSON               |      1,990 |          0 |          1 |      1,991 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/scrapers/hemdende/dump/products.csv                                                  | CSV                |        293 |          0 |          1 |        294 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/scrapers/hemdende/dump/size_parameters.csv                                           | CSV                |     17,216 |          0 |          1 |     17,217 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/scrapers/hemdende/dump/sizes.csv                                                     | CSV                |      2,468 |          0 |          1 |      2,469 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/scrapers/hemdende/hemdende.ipynb                                                     | JSON               |      1,036 |          0 |          1 |      1,037 |
| /Users/gero/dev/Nexa/nexa_old/python_scripts/scrapers/hemdende/langarm_product_urls.csv                                           | CSV                |      1,200 |          0 |          1 |      1,201 |
| /Users/gero/dev/Nexa/nexa_old/queries.sql                                                                                         | SQLite             |         11 |          5 |          0 |         16 |
| Total                                                                                                                             |                    |     82,343 |      3,364 |      5,323 |     91,030 |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
