Date : 2025-03-02 12:22:41
Directory : /Users/gero/dev/Nexa
Total : 318 files,  82343 codes, 3364 comments, 5323 blanks, all 91030 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| nexa/medusa/src/api/admin/products/[id]/fashion                                                                                   |          1 |         67 |          0 |         12 |         79 |
| nexa/medusa/src/api/store                                                                                                         |          7 |        206 |          2 |         30 |        238 |
| nexa/medusa/src/api/store/custom                                                                                                  |          7 |        206 |          2 |         30 |        238 |
| nexa/medusa/src/api/store/custom/fashion                                                                                          |          1 |         77 |          0 |         13 |         90 |
| nexa/medusa/src/api/store/custom/fashion/[productHandle]                                                                          |          1 |         77 |          0 |         13 |         90 |
| nexa/medusa/src/api/store/custom/product-types                                                                                    |          6 |        129 |          2 |         17 |        148 |
| nexa/medusa/src/api/store/custom/product-types (Files)                                                                            |          5 |        111 |          2 |         14 |        127 |
| nexa/medusa/src/api/store/custom/product-types/[id]                                                                               |          1 |         18 |          0 |          3 |         21 |
| nexa/medusa/src/jobs                                                                                                              |          1 |         27 |          0 |         12 |         39 |
| nexa/medusa/src/links                                                                                                             |          1 |         14 |          0 |          6 |         20 |
| nexa/medusa/src/modules                                                                                                           |          7 |        292 |          0 |         47 |        339 |
| nexa/medusa/src/modules (Files)                                                                                                   |          1 |         57 |          0 |         24 |         81 |
| nexa/medusa/src/modules/fashion                                                                                                   |          6 |        235 |          0 |         23 |        258 |
| nexa/medusa/src/modules/fashion (Files)                                                                                           |          2 |         13 |          0 |          5 |         18 |
| nexa/medusa/src/modules/fashion/migrations                                                                                        |          2 |        199 |          0 |         10 |        209 |
| nexa/medusa/src/modules/fashion/models                                                                                            |          2 |         23 |          0 |          8 |         31 |
| nexa/medusa/src/scripts                                                                                                           |          2 |      2,606 |          6 |         91 |      2,703 |
| nexa/medusa/src/subscribers                                                                                                       |          1 |         45 |          0 |         17 |         62 |
| nexa/medusa/src/workflows                                                                                                         |          1 |         60 |          0 |         18 |         78 |
| nexa/storefront                                                                                                                   |        229 |     15,096 |        346 |      1,845 |     17,287 |
| nexa/storefront (Files)                                                                                                           |         12 |        615 |         30 |        119 |        764 |
| nexa/storefront/.github                                                                                                           |          2 |        194 |          5 |         29 |        228 |
| nexa/storefront/.github/scripts                                                                                                   |          1 |         66 |          4 |          7 |         77 |
| nexa/storefront/.github/workflows                                                                                                 |          1 |        128 |          1 |         22 |        151 |
| nexa/storefront/e2e                                                                                                               |         42 |      4,501 |         11 |        515 |      5,027 |
| nexa/storefront/e2e (Files)                                                                                                       |          2 |         60 |          0 |         37 |         97 |
| nexa/storefront/e2e/data                                                                                                          |          2 |        189 |          4 |         17 |        210 |
| nexa/storefront/e2e/fixtures                                                                                                      |         23 |      1,346 |          2 |        147 |      1,495 |
| nexa/storefront/e2e/fixtures (Files)                                                                                              |          7 |        628 |          1 |         55 |        684 |
| nexa/storefront/e2e/fixtures/account                                                                                              |         10 |        523 |          1 |         62 |        586 |
| nexa/storefront/e2e/fixtures/account (Files)                                                                                      |          9 |        488 |          1 |         56 |        545 |
| nexa/storefront/e2e/fixtures/account/modals                                                                                       |          1 |         35 |          0 |          6 |         41 |
| nexa/storefront/e2e/fixtures/base                                                                                                 |          5 |        177 |          0 |         25 |        202 |
| nexa/storefront/e2e/fixtures/modals                                                                                               |          1 |         18 |          0 |          5 |         23 |
| nexa/storefront/e2e/tests                                                                                                         |         13 |      2,881 |          5 |        310 |      3,196 |
| nexa/storefront/e2e/tests/authenticated                                                                                           |          3 |        791 |          0 |         86 |        877 |
| nexa/storefront/e2e/tests/global                                                                                                  |          3 |         33 |          0 |          8 |         41 |
| nexa/storefront/e2e/tests/public                                                                                                  |          7 |      2,057 |          5 |        216 |      2,278 |
| nexa/storefront/e2e/utils                                                                                                         |          2 |         25 |          0 |          4 |         29 |
| nexa/storefront/src                                                                                                               |        173 |      9,786 |        300 |      1,182 |     11,268 |
| nexa/storefront/src (Files)                                                                                                       |          1 |         89 |         12 |         24 |        125 |
| nexa/storefront/src/app                                                                                                           |         22 |      1,396 |         12 |        132 |      1,540 |
| nexa/storefront/src/app (Files)                                                                                                   |          3 |         78 |          2 |         12 |         92 |
| nexa/storefront/src/app/[countryCode]                                                                                             |         19 |      1,318 |         10 |        120 |      1,448 |
| nexa/storefront/src/app/[countryCode]/(checkout)                                                                                  |          3 |        102 |          0 |         12 |        114 |
| nexa/storefront/src/app/[countryCode]/(checkout) (Files)                                                                          |          2 |         24 |          0 |          4 |         28 |
| nexa/storefront/src/app/[countryCode]/(checkout)/checkout                                                                         |          1 |         78 |          0 |          8 |         86 |
| nexa/storefront/src/app/[countryCode]/(main)                                                                                      |         16 |      1,216 |         10 |        108 |      1,334 |
| nexa/storefront/src/app/[countryCode]/(main) (Files)                                                                              |          3 |        167 |          6 |         18 |        191 |
| nexa/storefront/src/app/[countryCode]/(main)/about                                                                                |          1 |        158 |          3 |          7 |        168 |
| nexa/storefront/src/app/[countryCode]/(main)/cart                                                                                 |          3 |         35 |          0 |         11 |         46 |
| nexa/storefront/src/app/[countryCode]/(main)/collections                                                                          |          1 |         91 |          0 |         19 |        110 |
| nexa/storefront/src/app/[countryCode]/(main)/collections/[handle]                                                                 |          1 |         91 |          0 |         19 |        110 |
| nexa/storefront/src/app/[countryCode]/(main)/cookie-policy                                                                        |          1 |        117 |          0 |          5 |        122 |
| nexa/storefront/src/app/[countryCode]/(main)/inspiration                                                                          |          1 |        189 |          1 |          6 |        196 |
| nexa/storefront/src/app/[countryCode]/(main)/order                                                                                |          2 |         23 |          0 |          8 |         31 |
| nexa/storefront/src/app/[countryCode]/(main)/order/confirmed                                                                      |          2 |         23 |          0 |          8 |         31 |
| nexa/storefront/src/app/[countryCode]/(main)/order/confirmed/[id]                                                                 |          2 |         23 |          0 |          8 |         31 |
| nexa/storefront/src/app/[countryCode]/(main)/privacy-policy                                                                       |          1 |        163 |          0 |          5 |        168 |
| nexa/storefront/src/app/[countryCode]/(main)/products                                                                             |          1 |         93 |          0 |         18 |        111 |
| nexa/storefront/src/app/[countryCode]/(main)/products/[handle]                                                                    |          1 |         93 |          0 |         18 |        111 |
| nexa/storefront/src/app/[countryCode]/(main)/store                                                                                |          1 |         41 |          0 |          6 |         47 |
| nexa/storefront/src/app/[countryCode]/(main)/terms-of-use                                                                         |          1 |        139 |          0 |          5 |        144 |
| nexa/storefront/src/components                                                                                                    |         52 |      2,212 |        109 |        222 |      2,543 |
| nexa/storefront/src/components (Files)                                                                                            |         20 |      1,459 |         75 |        142 |      1,676 |
| nexa/storefront/src/components/icons                                                                                              |         27 |        527 |         27 |         54 |        608 |
| nexa/storefront/src/components/ui                                                                                                 |          5 |        226 |          7 |         26 |        259 |
| nexa/storefront/src/hooks                                                                                                         |          1 |         31 |          1 |          7 |         39 |
| nexa/storefront/src/lib                                                                                                           |         26 |      1,363 |         61 |        235 |      1,659 |
| nexa/storefront/src/lib (Files)                                                                                                   |          3 |         77 |         13 |         20 |        110 |
| nexa/storefront/src/lib/data                                                                                                      |         11 |      1,006 |         25 |        166 |      1,197 |
| nexa/storefront/src/lib/util                                                                                                      |         12 |        280 |         23 |         49 |        352 |
| nexa/storefront/src/modules                                                                                                       |         68 |      4,541 |        101 |        526 |      5,168 |
| nexa/storefront/src/modules/cart                                                                                                  |          7 |        327 |          2 |         51 |        380 |
| nexa/storefront/src/modules/cart/components                                                                                       |          4 |        226 |          0 |         31 |        257 |
| nexa/storefront/src/modules/cart/components/cart-totals                                                                           |          1 |         90 |          0 |          7 |         97 |
| nexa/storefront/src/modules/cart/components/discount-code                                                                         |          1 |         42 |          0 |         10 |         52 |
| nexa/storefront/src/modules/cart/components/empty-cart-message                                                                    |          1 |         18 |          0 |          3 |         21 |
| nexa/storefront/src/modules/cart/components/item                                                                                  |          1 |         76 |          0 |         11 |         87 |
| nexa/storefront/src/modules/cart/templates                                                                                        |          3 |        101 |          2 |         20 |        123 |
| nexa/storefront/src/modules/checkout                                                                                              |         19 |      1,628 |         29 |        200 |      1,857 |
| nexa/storefront/src/modules/checkout/components                                                                                   |         16 |      1,428 |         29 |        177 |      1,634 |
| nexa/storefront/src/modules/checkout/components/addresses                                                                         |          1 |        135 |          1 |         10 |        146 |
| nexa/storefront/src/modules/checkout/components/billing_address                                                                   |          1 |        135 |          0 |          6 |        141 |
| nexa/storefront/src/modules/checkout/components/country-select                                                                    |          1 |         46 |          0 |          7 |         53 |
| nexa/storefront/src/modules/checkout/components/discount-code                                                                     |          1 |         44 |          0 |         10 |         54 |
| nexa/storefront/src/modules/checkout/components/email                                                                             |          1 |         75 |          0 |          9 |         84 |
| nexa/storefront/src/modules/checkout/components/error-message                                                                     |          1 |         20 |          0 |          3 |         23 |
| nexa/storefront/src/modules/checkout/components/payment                                                                           |          1 |        216 |          0 |         25 |        241 |
| nexa/storefront/src/modules/checkout/components/payment-button                                                                    |          1 |        234 |          6 |         38 |        278 |
| nexa/storefront/src/modules/checkout/components/payment-container                                                                 |          1 |         35 |          0 |          7 |         42 |
| nexa/storefront/src/modules/checkout/components/payment-test                                                                      |          1 |         10 |          0 |          3 |         13 |
| nexa/storefront/src/modules/checkout/components/payment-wrapper                                                                   |          2 |         99 |          0 |         20 |        119 |
| nexa/storefront/src/modules/checkout/components/review                                                                            |          1 |         64 |          0 |          9 |         73 |
| nexa/storefront/src/modules/checkout/components/shipping                                                                          |          1 |        129 |          1 |         15 |        145 |
| nexa/storefront/src/modules/checkout/components/shipping-address                                                                  |          1 |        171 |         21 |         10 |        202 |
| nexa/storefront/src/modules/checkout/components/submit-button                                                                     |          1 |         15 |          0 |          5 |         20 |
| nexa/storefront/src/modules/checkout/templates                                                                                    |          3 |        200 |          0 |         23 |        223 |
| nexa/storefront/src/modules/checkout/templates/checkout-form                                                                      |          1 |         35 |          0 |          6 |         41 |
| nexa/storefront/src/modules/checkout/templates/checkout-summary                                                                   |          1 |         99 |          0 |          7 |        106 |
| nexa/storefront/src/modules/checkout/templates/mobile-checkout-summary                                                            |          1 |         66 |          0 |         10 |         76 |
| nexa/storefront/src/modules/collections                                                                                           |          1 |        116 |          2 |          8 |        126 |
| nexa/storefront/src/modules/collections/templates                                                                                 |          1 |        116 |          2 |          8 |        126 |
| nexa/storefront/src/modules/common                                                                                                |          8 |        296 |          0 |         36 |        332 |
| nexa/storefront/src/modules/common/components                                                                                     |          3 |        146 |          0 |         18 |        164 |
| nexa/storefront/src/modules/common/components/cart-totals                                                                         |          1 |         94 |          0 |          7 |        101 |
| nexa/storefront/src/modules/common/components/delete-button                                                                       |          1 |         23 |          0 |          6 |         29 |
| nexa/storefront/src/modules/common/components/line-item-unit-price                                                                |          1 |         29 |          0 |          5 |         34 |
| nexa/storefront/src/modules/common/icons                                                                                          |          5 |        150 |          0 |         18 |        168 |
| nexa/storefront/src/modules/order                                                                                                 |          2 |         92 |          0 |         12 |        104 |
| nexa/storefront/src/modules/order/components                                                                                      |          1 |         27 |          0 |          7 |         34 |
| nexa/storefront/src/modules/order/components/payment-details                                                                      |          1 |         27 |          0 |          7 |         34 |
| nexa/storefront/src/modules/order/templates                                                                                       |          1 |         65 |          0 |          5 |         70 |
| nexa/storefront/src/modules/products                                                                                              |         10 |        857 |         31 |         89 |        977 |
| nexa/storefront/src/modules/products/components                                                                                   |          7 |        615 |         28 |         72 |        715 |
| nexa/storefront/src/modules/products/components/image-gallery                                                                     |          1 |         34 |          0 |          6 |         40 |
| nexa/storefront/src/modules/products/components/product-actions                                                                   |          2 |        354 |         26 |         37 |        417 |
| nexa/storefront/src/modules/products/components/product-preview                                                                   |          1 |         66 |          0 |          7 |         73 |
| nexa/storefront/src/modules/products/components/product-price                                                                     |          1 |         40 |          1 |          7 |         48 |
| nexa/storefront/src/modules/products/components/related-products                                                                  |          1 |         60 |          1 |          8 |         69 |
| nexa/storefront/src/modules/products/components/thumbnail                                                                         |          1 |         61 |          0 |          7 |         68 |
| nexa/storefront/src/modules/products/templates                                                                                    |          3 |        242 |          3 |         17 |        262 |
| nexa/storefront/src/modules/products/templates (Files)                                                                            |          1 |        187 |          0 |          9 |        196 |
| nexa/storefront/src/modules/products/templates/product-actions-wrapper                                                            |          1 |         34 |          3 |          4 |         41 |
| nexa/storefront/src/modules/products/templates/product-info                                                                       |          1 |         21 |          0 |          4 |         25 |
| nexa/storefront/src/modules/skeletons                                                                                             |          9 |        187 |          9 |         30 |        226 |
| nexa/storefront/src/modules/skeletons/components                                                                                  |          5 |         86 |          5 |         16 |        107 |
| nexa/storefront/src/modules/skeletons/components/skeleton-button                                                                  |          1 |          6 |          2 |          4 |         12 |
| nexa/storefront/src/modules/skeletons/components/skeleton-cart-item                                                               |          1 |         19 |          1 |          3 |         23 |
| nexa/storefront/src/modules/skeletons/components/skeleton-cart-totals                                                             |          1 |         32 |          1 |          3 |         36 |
| nexa/storefront/src/modules/skeletons/components/skeleton-order-summary                                                           |          1 |         13 |          0 |          3 |         16 |
| nexa/storefront/src/modules/skeletons/components/skeleton-product-preview                                                         |          1 |         16 |          1 |          3 |         20 |
| nexa/storefront/src/modules/skeletons/templates                                                                                   |          4 |        101 |          4 |         14 |        119 |
| nexa/storefront/src/modules/skeletons/templates/skeleton-cart-page                                                                |          1 |         29 |          1 |          4 |         34 |
| nexa/storefront/src/modules/skeletons/templates/skeleton-order-confirmed                                                          |          1 |         33 |          1 |          3 |         37 |
| nexa/storefront/src/modules/skeletons/templates/skeleton-product-grid                                                             |          1 |         15 |          0 |          3 |         18 |
| nexa/storefront/src/modules/skeletons/templates/skeleton-related-products                                                         |          1 |         24 |          2 |          4 |         30 |
| nexa/storefront/src/modules/store                                                                                                 |         12 |      1,038 |         28 |        100 |      1,166 |
| nexa/storefront/src/modules/store/components                                                                                      |         10 |        826 |         22 |         76 |        924 |
| nexa/storefront/src/modules/store/components/pagination                                                                           |          1 |         98 |         12 |         11 |        121 |
| nexa/storefront/src/modules/store/components/refinement-list                                                                      |          9 |        728 |         10 |         65 |        803 |
| nexa/storefront/src/modules/store/components/refinement-list (Files)                                                              |          1 |        131 |          0 |         14 |        145 |
| nexa/storefront/src/modules/store/components/refinement-list/category-filter                                                      |          1 |         44 |          2 |          4 |         50 |
| nexa/storefront/src/modules/store/components/refinement-list/collection-filter                                                    |          1 |         44 |          2 |          4 |         50 |
| nexa/storefront/src/modules/store/components/refinement-list/mobile-filters                                                       |          1 |        202 |          0 |          8 |        210 |
| nexa/storefront/src/modules/store/components/refinement-list/mobile-sort                                                          |          1 |         76 |          0 |          6 |         82 |
| nexa/storefront/src/modules/store/components/refinement-list/size-filter                                                          |          1 |        124 |          2 |         14 |        140 |
| nexa/storefront/src/modules/store/components/refinement-list/size-variable                                                        |          1 |         16 |          0 |          3 |         19 |
| nexa/storefront/src/modules/store/components/refinement-list/sort-products                                                        |          1 |         47 |          2 |          8 |         57 |
| nexa/storefront/src/modules/store/components/refinement-list/type-filter                                                          |          1 |         44 |          2 |          4 |         50 |
| nexa/storefront/src/modules/store/templates                                                                                       |          2 |        212 |          6 |         24 |        242 |
| nexa/storefront/src/styles                                                                                                        |          1 |        137 |          1 |         34 |        172 |
| nexa/storefront/src/types                                                                                                         |          2 |         17 |          3 |          2 |         22 |
| nexa_old                                                                                                                          |         24 |     45,764 |         10 |         46 |     45,820 |
| nexa_old (Files)                                                                                                                  |          1 |         11 |          5 |          0 |         16 |
| nexa_old/python_scripts                                                                                                           |         23 |     45,753 |          5 |         46 |     45,804 |
| nexa_old/python_scripts (Files)                                                                                                   |          2 |     11,719 |          0 |          2 |     11,721 |
| nexa_old/python_scripts/importer                                                                                                  |         15 |      9,831 |          5 |         38 |      9,874 |
