,id,url,image_url,price,name,properties
34,35,https://www.hemden.de/olymp-level-five-body-fit-hemd-bleu-einfarbig-langarm-2007.64.11,https://cdn.hemden.de/media/image/7a/9d/d0/2007-64-11_800X8yxBQ1xh6jvw.jpg,59.95,"OLYMP Level Five Body Fit Hemd bleu, Einfarbig","{'Marke': 'OLYMP', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Stoff': 'Twill', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Haifisch', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'bleu', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
35,36,https://www.hemden.de/olymp-level-five-body-fit-hemd-weiss-einfarbig-langarm-6095.65.00,https://cdn.hemden.de/media/image/21/29/54/6095-65-00_800jkVQz2E3jAEM6.jpg,69.95,"OLYMP Level Five Body Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Uni', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Armlänge cm': '65cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Haifisch', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Umschlagmanschette'}"
36,37,https://www.hemden.de/herrenhemd/venti/slim-fit/creme/kent/langarm-65cm/einfarbig/001480002,https://cdn.hemden.de/media/image/2b/5a/b4/001480-002_8005TVsnVSeu1K0p.jpg,49.95,"Venti Modern Fit Hemd creme, Einfarbig","{'Marke': 'Venti', 'Stoff': 'Uni-Popeline', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '65cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'creme', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
37,38,https://www.hemden.de/olymp-level-five-body-fit-hemd-anthrazit-einfarbig-langarm-2080.64.67,https://cdn.hemden.de/media/image/ae/c1/a2/2080-64-67_800D0nSHQEfQ7PBc.jpg,59.95,"OLYMP Level Five Body Fit Hemd anthrazit, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'anthrazit', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
38,39,https://www.hemden.de/marvelis-modern-fit-hemd-schwarz-einfarbig-langarm-4700.64.68,https://cdn.hemden.de/media/image/bd/63/91/4700-64-68_800BXTwUBX8V3k8e.jpg,39.95,"Marvelis Modern Fit Hemd schwarz, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Leicht tailliert', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'schwarz', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
39,40,https://www.hemden.de/marvelis-body-fit-hemd-bleu-vichykaro-langarm-8726.64.11,https://cdn.hemden.de/media/image/01/fd/2d/8726-64-11_8009VJ88MosKMgto.jpg,49.95,"Marvelis Body Fit Hemd bleu, Vichykaro","{'Marke': 'Marvelis', 'Stoff': '100% Baumwolle', 'Schnitt': 'Taillierter Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New York Kent', 'Pflege': 'Besonders bügelleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'bleu', 'Muster': 'Vichykaro', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Sportmanschette'}"
40,41,https://www.hemden.de/herrenhemd/olymp/super-slim-n6/weiss/kent/langarm-64cm/einfarbig/04676400,https://cdn.hemden.de/media/image/1f/4e/75/0467-64-00_800YPbFELfCmjGTB.jpg,59.95,"OLYMP No. Six Super Slim Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Stoffart: Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Stark tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Urban Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette', 'Besonderheiten': 'Teilungsnaht'}"
41,42,https://www.hemden.de/olymp-luxor-comfort-fit-hemd-bleu-einfarbig-langarm-5131.64.11,https://cdn.hemden.de/media/image/04/g0/88/5131-64-11_800pZLZhJJY5XXcm.jpg,59.95,"OLYMP Luxor Comfort Fit Hemd bleu, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Gerader Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'bleu', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
42,43,https://www.hemden.de/olymp-level-five-body-fit-hemd-weiss-einfarbig-langarm-2007.64.00,https://cdn.hemden.de/media/image/29/6b/79/2007-64-00_800TPKF6lxtGWcxT.jpg,59.95,"OLYMP Level Five Body Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Stoff': 'Twill', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Haifisch', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
43,44,https://www.hemden.de/marvelis-body-fit-hemd-weiss-einfarbig-langarm-6798.64.00,https://cdn.hemden.de/media/image/fc/78/1a/6798-64-00_800ImBTjplWSy2eC.jpg,39.95,"Marvelis Body Fit Hemd weiss, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Taillierter Schnitt', 'Stoff': 'Uni-Popeline', 'Armlänge': 'Langarm (Normallänge)', 'Armlänge cm': '64cm', 'Material': '100% Baumwolle', 'Kragenart': 'New York Kent', 'Pflege': 'Besonders bügelleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Sportmanschette', 'Besonderheiten': 'Teilungsnaht'}"
44,45,https://www.hemden.de/olymp-level-five-body-fit-hemd-hellblau-einfarbig-langarm-6090.64.10,https://cdn.hemden.de/media/image/38/53/0e/6090-64-10_800MklZk6Dsuxkcw.jpg,59.95,"OLYMP Level Five Body Fit Hemd hellblau, Einfarbig","{'Marke': 'OLYMP', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'hellblau', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Officemanschette'}"
45,46,https://www.hemden.de/eterna-modern-fit-hemd-hellblau-einfarbig-langarm-1100.x177.10,https://cdn.hemden.de/media/image/d0/f8/6a/1100-X177-10_8006SSCHlswZ4GSX.jpg,59.95,"Eterna Modern Fit Hemd hellblau, Einfarbig","{'Marke': 'ETERNA', 'Stoff': 'Uni-Popeline', 'Schnitt': 'Leicht tailliert', 'Armlänge': 'Langarm (Normallänge)', 'Armlänge cm': '65cm', 'Kragenart': 'Kent', 'Material': '100% Baumwolle', 'Pflege': 'Bügelfrei und Knitterfrei', 'Farbe': 'hellblau', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche'}"
46,47,https://www.hemden.de/herrenhemd/olymp/super-slim-n6/hellbeige/kent/langarm-64cm/einfarbig/04666420,https://cdn.hemden.de/media/image/8c/af/79/0466-64-20_800e2NtSopgOulA4.jpg,59.95,"OLYMP No. Six Super Slim Hemd hellbeige, Einfarbig","{'Marke': 'OLYMP', 'Schnitt': 'Stark tailliert', 'Stoff': 'Office Stretch', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Armlänge': 'Langarm (Normallänge)', 'Armlänge cm': '64cm', 'Material': '97% Baumwolle / 3% Elastolefin', 'Kragenart': 'Urban Kent', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'hellbeige', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
47,48,https://www.hemden.de/olymp-luxor-modern-fit-hemd-royal-karo-langarm-3390.64.19,https://cdn.hemden.de/media/image/e1/25/d0/3390-64-19_800HEWsqHavgBmSG.jpg,69.95,"OLYMP Luxor Modern Fit Hemd royal, Karo","{'Marke': 'OLYMP', 'Stoff': 'Check', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'royal', 'Muster': 'Karo', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette', 'Besonderheiten': 'Patch in Kragen / Manschette'}"
48,49,https://www.hemden.de/marvelis-modern-fit-hemd-weiss-strukturiert-langarm-4767.64.00,https://cdn.hemden.de/media/image/38/d4/7f/4767-64-00_800JfdTArAeavqv5.jpg,49.95,"Marvelis Modern Fit Hemd weiss, Strukturiert","{'Marke': 'Marvelis', 'Stoff': 'Struktur', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Strukturiert', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette', 'Besonderheiten': 'Patch in Kragen / Manschette'}"
49,50,https://www.hemden.de/herrenhemd/olymp/super-slim-n6/weiss/kent/langarm-64cm/einfarbig/25006400,https://cdn.hemden.de/media/image/d5/66/39/2500-64-00_8000drzJHXUhryPu.jpg,59.95,"OLYMP No. Six Super Slim Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Schnitt': 'Stark tailliert', 'Stoff': 'Stoffart: Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Armlänge': 'Langarm (Normallänge)', 'Armlänge cm': '64cm', 'Material': '97% Baumwolle / 3% Elastolefin', 'Kragenart': 'Haifisch', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
50,51,https://www.hemden.de/olymp-luxor-comfort-fit-hemd-bleu-karo-langarm-3190.64.11,https://cdn.hemden.de/media/image/67/26/a7/3190-64-11_800vymu815u7zUWr.jpg,69.95,"OLYMP Luxor Comfort Fit Hemd bleu, Karo","{'Marke': 'OLYMP', 'Stoff': 'Check', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Gerader Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'bleu', 'Muster': 'Karo', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette', 'Besonderheiten': 'Patch in Kragen / Manschette'}"
51,52,https://www.hemden.de/seidensticker-hemd-x-slim-weiss-einfarbig-langarm-474980.01,https://cdn.hemden.de/media/image/90/c3/e3/474980-01_800fYq4Osop0CrdA.jpg,59.95,"Seidensticker Hemd - X-Slim - weiss, Einfarbig","{'Marke': 'Seidensticker', 'Schnitt': 'Stark tailliert', 'Stoff': 'Stoffart: Popeline', 'Armlänge cm': '67cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'Modern Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette', 'Besonderheiten': 'Stretch'}"
52,53,https://www.hemden.de/herrenhemd/olymp/body-fit/weiss/underbuttondown/langarm-64cm/strukturiert/04646400,https://cdn.hemden.de/media/image/56/97/ff/0464-64-00_80054ZFrePsYYKaW.jpg,69.95,"OLYMP Level Five Body Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Twill', 'Schnitt': 'Taillierter Schnitt', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Armlänge': 'Langarm (Normallänge)', 'Armlänge cm': '64cm', 'Kragenart': 'Under-Button-Down', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Officemanschette', 'Besonderheiten': 'Italienische Knopfleiste'}"
53,54,https://www.hemden.de/herrenhemd/olymp/slim-line/mittelgrau/new-kent/langarm-64cm/einfarbig/03026460,https://cdn.hemden.de/media/image/87/a2/3b/0302-64-60_800MwNrg8peiTLBw.jpg,59.95,"OLYMP Luxor Modern Fit Hemd mittelgrau, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Fil à fil', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'mittelgrau', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
54,55,https://www.hemden.de/olymp-no.-six-super-slim-hemd-weiss-einfarbig-langarm-0491.65.00,https://cdn.hemden.de/media/image/f9/5e/80/0491-65-00_8006TkYYxMmVdR0b.jpg,69.95,"OLYMP No. Six Super Slim Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Stark tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Urban Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Umschlagmanschette'}"
55,56,https://www.hemden.de/olymp-luxor-comfort-fit-hemd-silbergrau-einfarbig-langarm-5131.64.63,https://cdn.hemden.de/media/image/26/f6/48/5131-64-63_800IJSbzcuPJQjuN.jpg,59.95,"OLYMP Luxor Comfort Fit Hemd silbergrau, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Gerader Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'silbergrau', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
56,57,https://www.hemden.de/eterna-modern-fit-hemd-mittelblau-einfarbig-langarm-8100.x13k.12,https://cdn.hemden.de/media/image/43/ee/72/8100-X13K-12_800BEWDUOTIM5zhm.jpg,69.95,"ETERNA Modern Fit Hemd mittelblau, Einfarbig","{'Marke': 'ETERNA', 'Stoff': 'Oxford Style', 'Nachhaltigkeit': 'Grüner Knopf', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '65cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Kent', 'Material': '100% Baumwolle', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'mittelblau', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette', 'Besonderheiten': 'Patch in Kragen / Manschette'}"
57,58,https://www.hemden.de/olymp-no.-six-super-slim-hemd-rauchblau-einfarbig-langarm-0466.64.13,https://cdn.hemden.de/media/image/71/21/62/0466-64-13_800XFalEdNqa6sVP.jpg,59.95,"OLYMP No. Six Super Slim Hemd rauchblau, Einfarbig","{'Marke': 'OLYMP', 'Schnitt': 'Stark tailliert', 'Stoff': 'Office Stretch', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Armlänge': 'Langarm (Normallänge)', 'Armlänge cm': '64cm', 'Material': '97% Baumwolle / 3% Elastolefin', 'Kragenart': 'Urban Kent', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'rauchblau', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
58,59,https://www.hemden.de/marvelis-comfort-fit-hemd-blau-gestreift-langarm-7954.64.15,https://cdn.hemden.de/media/image/3e/03/87/7954-64-15_800gz7j4inqP8PNi.jpg,39.95,"Marvelis Comfort Fit Hemd blau, Gestreift","{'Marke': 'Marvelis', 'Schnitt': 'Gerader Schnitt', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'blau', 'Muster': 'Gestreift', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
59,60,https://www.hemden.de/herrenhemd/seidensticker/comfort-fit/weiss/business-kent/langarm-65cm/einfarbig/31242001,https://cdn.hemden.de/media/image/97/a8/69/312420-01_800QwvlQluYAEN0v.jpg,59.95,"Seidensticker Hemd - Comfort Fit - weiss, Einfarbig","{'Marke': 'Seidensticker', 'Schnitt': 'Gerader Schnitt', 'Stoff': 'Stoffart: Popeline', 'Armlänge cm': '65cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'Business Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
60,61,https://www.hemden.de/seidensticker-modern-fit-hemd-weiss-einfarbig-langarm-003002.01,https://cdn.hemden.de/media/image/a6/20/01/003002-01_800yChH8pkZadpUU.jpg,59.95,"Seidensticker Modern Fit Hemd weiss, Einfarbig","{'Marke': 'Seidensticker', 'Stoff': 'Stoffart: Popeline', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '66cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Button-Down', 'Material': '100% Baumwolle', 'Pflege': 'Bügelfrei', 'Waschbar bis': '60 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche'}"
61,62,https://www.hemden.de/olymp-luxor-modern-fit-hemd-bleu-kariert-langarm-0316.64.11,https://cdn.hemden.de/media/image/51/8c/e7/0316-64-11_800O617xBVvJ9qsS.jpg,59.95,"Olymp Luxor Modern Fit Hemd bleu, Kariert","{'Marke': 'OLYMP', 'Schnitt': 'Leicht tailliert', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei und Knitterfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'bleu', 'Muster': 'Kariert', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
62,63,https://www.hemden.de/marvelis-comfort-fit-hemd-hellbeige-einfarbig-langarm-7973.64.20,https://cdn.hemden.de/media/image/03/54/b0/7973-64-20_800m6fShtLcJubae.jpg,39.95,"Marvelis Comfort Fit Hemd hellbeige, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Gerader Schnitt', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'hellbeige', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
63,64,https://www.hemden.de/seidensticker-hemd-tailored-weiss-einfarbig-langarm-021000.01,https://cdn.hemden.de/media/image/74/8e/c5/021000-01_800gtY7dsatXcGRJ.jpg,59.95,"Seidensticker Hemd - Tailored - weiss, Einfarbig","{'Marke': 'Seidensticker', 'Stoff': 'Stoffart: Popeline', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '67cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'Business Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
64,65,https://www.hemden.de/marvelis-modern-fit-hemd-bleu-einfarbig-langarm-4704.64.11,https://cdn.hemden.de/media/image/55/42/97/4704-64-11_800URNTx9EtUAYVn.jpg,39.95,"Marvelis Modern Fit Hemd bleu, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Leicht tailliert', 'Stoff': 'Chambray', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'bleu', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
65,66,https://www.hemden.de/olymp-level-five-body-fit-hemd-royal-einfarbig-langarm-2080.64.19,https://cdn.hemden.de/media/image/01/f8/42/2080-64-19_800KWYuC5uSv5iP1.jpg,59.95,"OLYMP Level Five Body Fit Hemd royal, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'royal', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
66,67,https://www.hemden.de/marvelis-modern-fit-hemd-blau-gestreift-langarm-7754.64.15,https://cdn.hemden.de/media/image/cf/18/ab/7754-64-15_800o4PmBiIc6yaBC.jpg,39.95,"Marvelis Modern Fit Hemd blau, Gestreift","{'Marke': 'Marvelis', 'Schnitt': 'Leicht tailliert', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'blau', 'Muster': 'Gestreift', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
67,68,https://www.hemden.de/marvelis-body-fit-hemd-weiss-einfarbig-langarm-6799.64.00,https://cdn.hemden.de/media/image/36/50/ea/6799-64-00_800crMQITBZsaDX4.jpg,39.95,"Marvelis Body Fit Hemd weiss, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Taillierter Schnitt', 'Stoff': 'Uni', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New York Kent', 'Pflege': 'Bügelleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Sportmanschette'}"
68,69,https://www.hemden.de/olymp-level-five-body-fit-hemd-hellbeige-einfarbig-langarm-6090.64.20,https://cdn.hemden.de/media/image/60/15/37/6090-64-20_8004YXxVsYqASgso.jpg,59.95,"OLYMP Level Five Body Fit Hemd hellbeige, Einfarbig","{'Marke': 'OLYMP', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'hellbeige', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Sportmanschette'}"
69,70,https://www.hemden.de/marvelis-modern-fit-hemd-schwarz-einfarbig-langarm-4704.64.68,https://cdn.hemden.de/media/image/d4/92/15/4704-64-68_800VmrlQrM5kxi35.jpg,39.95,"Marvelis Modern Fit Hemd schwarz, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Leicht tailliert', 'Stoff': 'Chambray', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'schwarz', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
